Symbol,Name,Exchange,Type,Category,Currency,Unit,LastPrice,YearLow,YearHigh,MarketCapitalisation,AverageDailyVolume
TYPE,Monotype Imaging Holdings Inc.,NMS,EQUITY,Application Software,USD,Share,24.85,22.47,34.42,959.46M,180422
SRNA,Surna Inc.,PNK,EQUITY,Application Software,USD,Share,0.0692,0.0430,3.1400,6.82M,607067
SLH,Solera Holdings Inc.,NYQ,EQUITY,Application Software,USD,Share,46.71,42.24,67.39,2.88B,383265
EFUT,e-Future Information Technology Inc.,NCM,EQUITY,Application Software,USD,Share,5.65,3.71,6.60,21.04M,27400
PCTY,Paylocity Holding Corporation,NMS,EQUITY,Application Software,USD,Share,34.80,18.50,37.96,1.79B,229287
PRGS,Progress Software Corporation,NMS,EQUITY,Application Software,USD,Share,28.09,22.27,30.57,1.51B,268717
COVS,Covisint Corporation,NMS,EQUITY,Application Software,USD,Share,2.95,1.79,5.31,124.89M,435075
AMAP,AutoNavi Holdings Limited,NMS,EQUITY,Application Software,,Share,1,1,21,,1977810
PRLS,Peerless Systems Corp.,NCM,EQUITY,Application Software,,Share,0,3,7,,5728
MDSY,BluePhoenix Solutions Ltd.,NGM,EQUITY,Application Software,USD,Share,1.91,1.40,4.29,28.64M,1124
FLTX,Fleetmatics Group PLC,NYQ,EQUITY,Application Software,USD,Share,45.09,27.75,49.18,1.83B,427716
VSMR,Verify Smart Corp.,PNK,EQUITY,Application Software,USD,Share,0.039,0.021,0.200,1.91M,3552
PLUS,ePlus inc.,NMS,EQUITY,Application Software,USD,Share,79.95,50.17,91.38,581.22M,73967
ATEA,Astea International Inc.,NCM,EQUITY,Application Software,USD,Share,1.78,1.04,2.95,6.28M,2275
EGOV,NIC Inc.,NMS,EQUITY,Application Software,USD,Share,17.79,15.16,19.40,1.18B,202665
ZIXI,Zix Corporation,NMS,EQUITY,Application Software,USD,Share,5.03,2.90,5.47,303.86M,449960
OTEX,Open Text Corporation,NMS,EQUITY,Application Software,USD,Share,41.468,38.360,61.740,4.77B,495943
CDNS,Cadence Design Systems Inc.,NMS,EQUITY,Application Software,USD,Share,19.83,15.50,20.51,5.76B,3888000
NSIT,Insight Enterprises Inc.,NMS,EQUITY,Application Software,USD,Share,30.49,21.59,32.80,1.11B,239410
TIGR,TigerLogic Corporation,NCM,EQUITY,Application Software,USD,Share,0.3623,0.2700,1.5000,9.52M,53936
NQ,NQ Mobile Inc.,NYQ,EQUITY,Application Software,USD,Share,5.02,3.22,10.69,372.88M,2014170
CPWR,Compuware Corporation,NMS,EQUITY,Application Software,,Share,0,9,10,,
MSTR,MicroStrategy Inc.,NMS,EQUITY,Application Software,USD,Share,175.72,127.46,197.89,2.05B,85890
AVG,AVG Technologies N.V.,NYQ,EQUITY,Application Software,USD,Share,26.86,16.00,29.09,1.45B,478960
WDDD,Worlds Inc.,PNK,EQUITY,Application Software,USD,Share,0.0983,0.0700,0.2700,12.38M,262443
TSYS,TeleCommunication Systems Inc.,NMS,EQUITY,Application Software,USD,Share,3.44,2.72,4.20,252.88M,197249
MTLS,Materialise NV,NMS,EQUITY,Application Software,USD,Share,8.80,6.45,13.30,464.61M,63732
SEAC,SeaChange International Inc.,NMS,EQUITY,Application Software,USD,Share,7.29,5.30,8.55,240.48M,196021
MSCI,MSCI Inc.,NYQ,EQUITY,Application Software,USD,Share,62.36,41.16,64.53,7.25B,566505
