Symbol,Name,Exchange,Type,Category,Currency,Unit,LastPrice,YearLow,YearHigh,MarketCapitalisation,AverageDailyVolume
CTRX,Catamaran Corporation,NMS,equity,Application Software,USD,Share,60.67,,61.43,12.77B,2973890
EXA,Exa Corporation,NGM,equity,Application Software,USD,Share,11.18,,12.89,160.98M,28927
GLSO,GlassesOff Inc.,OBB,equity,Application Software,USD,Share,2.17,,13.20,9.10M,848
STMP,Stamps.com Inc.,NMS,equity,Application Software,USD,Share,71.59,,75.50,1.22B,156098
DTSI,DTS Inc.,NMS,equity,Application Software,USD,Share,31.06,,38.24,516.15M,143790
AGYS,Agilysys Inc.,NMS,equity,Application Software,USD,Share,9.30,,13.79,217.48M,41578
SYNA,Synaptics Inc.,NMS,equity,Application Software,USD,Share,93.49,,102.50,3.15B,839233
MOBI,Sky-mobi Limited,NGM,equity,Application Software,USD,Share,4.84,,10.56,122.42M,367830
CATI,Clone Algo Technologies Inc.,OBB,equity,Application Software,USD,Share,0.00,,12.00,,
SAP,SAP SE,NYQ,equity,Application Software,USD,Share,72.69,,82.70,87.49B,949989
MGIC,Magic Software Enterprises Ltd.,NMS,equity,Application Software,USD,Share,6.57,,7.78,282.00M,20487
SAAX,Nouveau Ventures Inc.,PNK,equity,Application Software,USD,Share,0.44,,1.00,22.87M,703
TYPE,Monotype Imaging Holdings Inc.,NMS,equity,Application Software,USD,Share,24.85,,34.42,959.46M,180711
SRNA,Surna Inc.,PNK,equity,Application Software,USD,Share,0.0696,,3.1400,6.82M,609959
FLTX,Fleetmatics Group PLC,NYQ,equity,Application Software,USD,Share,45.01,,49.18,1.83B,427951
SLH,Solera Holdings Inc.,NYQ,equity,Application Software,USD,Share,46.82,,67.39,2.88B,388251
