symbol,name,exchange,type,category
KKR,KKR & Co. L.P.,NYQ,equity,Asset Management
M.V,Mosaic Capital Corporation,VAN,equity,Asset Management
SMCG,Millennium Investment & Acquisition Company Inc,PNK,equity,Asset Management
XEK.SG,FORTRESS INVEST-A,STU,equity,Asset Management
ASA,ASA Gold and Precious Metals Limited,NYQ,equity,Asset Management
XEK.F,FORTRESS INVEST-A,FRA,equity,Asset Management
TCI.V,Target Capital Inc.,VAN,equity,Asset Management
LAZ,Lazard Ltd.,NYQ,equity,Asset Management
INVP.L,Investec plc,LSE,equity,Asset Management
CET,Central Securities Corp.,ASE,equity,Asset Management
SDR.L,Schroders plc,LSE,equity,Asset Management
FSZ.TO,Fiera Capital Corporation,TOR,equity,Asset Management
IFL.AX,IOOF Holdings Limited,ASX,equity,Asset Management
SGE.V,Strategem Capital Corp.,VAN,equity,Asset Management
KADVANI.BO,Atlanta Infrastructure and Finance Limited,BSE,equity,Asset Management
BX,The Blackstone Group L.P.,NYQ,equity,Asset Management
SEIC,SEI Investments Co.,NMS,equity,Asset Management
MBB.DE,MBB Industries AG,GER,equity,Asset Management
DHIL,Diamond Hill Investment Group Inc.,NMS,equity,Asset Management
LAQ.V,La Quinta Resources Corp.,VAN,equity,Asset Management
GCP.L,GCP Infrastructure Investments Ltd.,LSE,equity,Asset Management
NFX.V,NexGen Financial Corporation,VAN,equity,Asset Management
AMG,Affiliated Managers Group Inc.,NYQ,equity,Asset Management
STT,State Street Corporation,NYQ,equity,Asset Management
NOAH,Noah Holdings Limited,NYQ,equity,Asset Management
ASX.AX,ASX Limited,ASX,equity,Asset Management
WCM-A.TO,Wilmington Capital Management Inc.,TOR,equity,Asset Management
TCN.TO,Tricon Capital Group Inc.,TOR,equity,Asset Management
DC-PB.TO,Dundee Corporation,TOR,equity,Asset Management
RCP.L,RIT Capital Partners plc,LSE,equity,Asset Management
APAM,Artisan Partners Asset Management Inc.,NYQ,equity,Asset Management
OZM,Och-Ziff Capital Management Group LLC,NYQ,equity,Asset Management
SOHL,Southern Trust Securities Holding Corporation,PNK,equity,Asset Management
CSWC,Capital Southwest Corporation,NMS,equity,Asset Management
IHJ.BE,VZ HOLDING N,BER,equity,Asset Management
PJR.SG,PIPER JAFFRAY,STU,equity,Asset Management
NFD-A.V,Northfield Capital Corp.,VAN,equity,Asset Management
TSL.BO,TSL Industries Limited,BSE,equity,Asset Management
HRZN,Horizon Technology Finance Corporation,NMS,equity,Asset Management
NNS.BE,NANOSTART,BER,equity,Asset Management
FRK.F,FRANKLIN RESOURCES,FRA,equity,Asset Management
VTLN.SG,VONTOBEL HLDG N,STU,equity,Asset Management
CLIG.L,City of London Investment Group PLC,LSE,equity,Asset Management
BACT.L,BACIT Limited,LSE,equity,Asset Management
JAF.BE,JAFCO,BER,equity,Asset Management
EV,Eaton Vance Corp.,NYQ,equity,Asset Management
NNS.SG,NANOSTART,STU,equity,Asset Management
SCIN.L,Scottish Investment Trust Ord,LSE,equity,Asset Management
KSP-UN.TO,Kingsway Linked Return of Capital Trust,TOR,equity,Asset Management
VRNL.PA,Verneuil Participations,PAR,equity,Asset Management
SSI.V,Southern Sun Minerals Inc.,VAN,equity,Asset Management
LWDB.L,The Law Debenture Corporation plc,LSE,equity,Asset Management
GLJ.DE,GrenkeLeasing AG,GER,equity,Asset Management
TPOG.L,Third Point Offshore Investors Limited,LSE,equity,Asset Management
IFIC.DU,EXOR,DUS,equity,Asset Management
FGF.V,Capital DGMC Inc.,VAN,equity,Asset Management
LSE.L,London Stock Exchange Group plc,LSE,equity,Asset Management
IUR.DU,KAP-BETEILIGUNGS,DUS,equity,Asset Management
LM,Legg Mason Inc.,NYQ,equity,Asset Management
WSFIN.BO,Wall Street Finance Ltd.,BSE,equity,Asset Management
ZOF.F,SBI HOLDINGS,FRA,equity,Asset Management
DC-A.TO,Dundee Corporation,TOR,equity,Asset Management
CVG.TO,Clairvest Group Inc.,TOR,equity,Asset Management
IVZ,Invesco Ltd.,NYQ,equity,Asset Management
YBR.AX,Yellow Brick Road Holdings Limited,ASX,equity,Asset Management
IAM.TO,Integrated Asset Management Corp.,TOR,equity,Asset Management
JAF.DU,JAFCO,DUS,equity,Asset Management
GIMB.BR,GIMV NV,BRU,equity,Asset Management
ZYA.F,STATE STREET,FRA,equity,Asset Management
CIX.TO,CI Financial Corp,TOR,equity,Asset Management
RELCAPITAL.BO,Reliance Capital Limited,BSE,equity,Asset Management
EVR,Evercore Partners Inc.,NYQ,equity,Asset Management
RAND,Rand Capital Corporation,NCM,equity,Asset Management
MLVES.PA,Vestasia Limited,PAR,equity,Asset Management
KBCA.BR,KBC Ancora SCA,BRU,equity,Asset Management
AGF-B.TO,AGF Management Limited,TOR,equity,Asset Management
RAF.AX,Raffles Capital Limited,ASX,equity,Asset Management
ZYA.SG,STATE STREET,STU,equity,Asset Management
SIHL.L,Symphony International Holdings Limited,LSE,equity,Asset Management
CIFC,CIFC Corp.,NCM,equity,Asset Management
CLMS,Calamos Asset Management Inc.,NMS,equity,Asset Management
URB-A.TO,Urbana Corp.,TOR,equity,Asset Management
AFI.AX,Australian Foundation Investment Company Limited,ASX,equity,Asset Management
JAN.MU,JAPAN ASIA INVT,MUN,equity,Asset Management
LIO.L,Liontrust Asset Management Plc,LSE,equity,Asset Management
NTRS,Northern Trust Corporation,NMS,equity,Asset Management
VBDESAI.BO,V. B. Desai Financial Services Limited,BSE,equity,Asset Management
BEN,Franklin Resources Inc.,NYQ,equity,Asset Management
JUP.L,Jupiter Fund Management Plc,LSE,equity,Asset Management
HGG.L,Henderson Group plc,LSE,equity,Asset Management
FBRC,FBR & Co.,NMS,equity,Asset Management
AGOU.L,Ashmore Global Opportunities Ltd,LSE,equity,Asset Management
KBC.AX,KeyBridge Capital Limited,ASX,equity,Asset Management
CGF.AX,Challenger Limited,ASX,equity,Asset Management
KMX,CarMax Inc.,NYQ,equity,Auto Dealerships
SAH,Sonic Automotive Inc.,NYQ,equity,Auto Dealerships
LAS,Lentuo International Inc.,NYQ,equity,Auto Dealerships
PDG.L,Pendragon PLC,LSE,equity,Auto Dealerships
AN,AutoNation Inc.,NYQ,equity,Auto Dealerships
IZO.SG,JD GROUP,STU,equity,Auto Dealerships
IZO.BE,JD GROUP,BER,equity,Auto Dealerships
AUTCF,AutoChina International Ltd.,PNK,equity,Auto Dealerships
ACQ.TO,AutoCanada Inc.,TOR,equity,Auto Dealerships
LAD,Lithia Motors Inc.,NYQ,equity,Auto Dealerships
CALI,China Auto Logistic Inc.,NGM,equity,Auto Dealerships
AHE.AX,Automotive Holdings Group Limited,ASX,equity,Auto Dealerships
UG.PA,Peugeot S.A.,PAR,equity,Auto Manufacturers - Major
TOM.SG,TOYOTA MOTOR,STU,equity,Auto Manufacturers - Major
TTM,Tata Motors Limited,NYQ,equity,Auto Manufacturers - Major
BUS.V,Grande West Transportation Group Inc,VAN,equity,Auto Manufacturers - Major
TOM.MU,TOYOTA MOTOR,MUN,equity,Auto Manufacturers - Major
SUK.BE,SUZUKI MOTOR,BER,equity,Auto Manufacturers - Major
HDM.MU,HONDA MOTOR,MUN,equity,Auto Manufacturers - Major
F,Ford Motor Co.,NYQ,equity,Auto Manufacturers - Major
YMA.MU,YAMAHA MOTOR,MUN,equity,Auto Manufacturers - Major
PEU.SG,PEUGEOT,STU,equity,Auto Manufacturers - Major
HYU.DE,Hyundai Motor Company,GER,equity,Auto Manufacturers - Major
GRV.SG,GREAT WALL MOTOR-H-,STU,equity,Auto Manufacturers - Major
HMO.DU,HINO MOTORS,DUS,equity,Auto Manufacturers - Major
NISA.F,NISSAN MOTOR CO LTD,FRA,equity,Auto Manufacturers - Major
PEU.DE,Peugeot S.A.,GER,equity,Auto Manufacturers - Major
TOM.DU,TOYOTA MOTOR,DUS,equity,Auto Manufacturers - Major
GRV.MU,GREAT WALL MOTOR-H-,MUN,equity,Auto Manufacturers - Major
TAH.BE,TOYOTA INDUSTRIES,BER,equity,Auto Manufacturers - Major
RNL.BE,RENAULT,BER,equity,Auto Manufacturers - Major
MMO.F,MITSUBISHI MOTORS,FRA,equity,Auto Manufacturers - Major
VOW.DE,Volkswagen AG,GER,equity,Auto Manufacturers - Major
YMA.SG,YAMAHA MOTOR,STU,equity,Auto Manufacturers - Major
TYT.L,Toyota Motor Corporation,LSE,equity,Auto Manufacturers - Major
GM,General Motors Company,NYQ,equity,Auto Manufacturers - Major
HMO.MU,HINO MOTORS,MUN,equity,Auto Manufacturers - Major
ISU.DU,ISUZU MOTORS,DUS,equity,Auto Manufacturers - Major
ISU.SG,Isuzu Motors Ltd.,STU,equity,Auto Manufacturers - Major
ZAAP,ZAP,PNK,equity,Auto Manufacturers - Major
NSU.DU,AUDI,DUS,equity,Auto Manufacturers - Major
NISA.DU,NISSAN MOTOR CO LTD,DUS,equity,Auto Manufacturers - Major
NISA.BE,NISSAN MOTOR CO LTD,BER,equity,Auto Manufacturers - Major
DAI.DE,Daimler AG,GER,equity,Auto Manufacturers - Major
BMW.F,BMW,FRA,equity,Auto Manufacturers - Major
MZA.SG,MAZDA MOTOR CORP,STU,equity,Auto Manufacturers - Major
BMWA.DE,Bayerische Motoren Werke Aktiengesellschaft,GER,equity,Auto Manufacturers - Major
MARUTI.NS,Maruti Suzuki India Limited,NSI,equity,Auto Manufacturers - Major
ZNN.V,ZENN Motor Company Inc.,VAN,equity,Auto Manufacturers - Major
TAH.F,TOYOTA INDUSTRIES,FRA,equity,Auto Manufacturers - Major
DMO.MU,DAIHATSU MOTOR,MUN,equity,Auto Manufacturers - Major
VOW.BE,VOLKSWAGEN,BER,equity,Auto Manufacturers - Major
HDM.SG,HONDA MOTOR,STU,equity,Auto Manufacturers - Major
YMA.BE,YAMAHA MOTOR,BER,equity,Auto Manufacturers - Major
VKW.L,Volkswagen AG,LSE,equity,Auto Manufacturers - Major
TM,Toyota Motor Corporation,NYQ,equity,Auto Manufacturers - Major
TOM.F,TOYOTA MOTOR,FRA,equity,Auto Manufacturers - Major
BMW.DE,Bayerische Motoren Werke Aktiengesellschaft,GER,equity,Auto Manufacturers - Major
PIH.TO,Pacific Insight Electronics Corp.,TOR,equity,Auto Parts
LKQ,LKQ Corp.,NMS,equity,Auto Parts
MNRO,Monro Muffler Brake Inc.,NMS,equity,Auto Parts
SIX.AX,Sprintex Limited,ASX,equity,Auto Parts
ECAU,Echo Automotive Inc.,PNK,equity,Auto Parts
XDH.F,XINGDA INTERNATIONA,FRA,equity,Auto Parts
ACGL.BO,Automobile Corp. of Goa Ltd.,BSE,equity,Auto Parts
SFQ.DE,Saf-Holland SA,GER,equity,Auto Parts
QTWW,Quantum Fuel Systems Technologies Worldwide Inc.,NCM,equity,Auto Parts
LDL,Lydall Inc.,NYQ,equity,Auto Parts
WHEELS.NS,Wheels India Limited,NSI,equity,Auto Parts
GKN.L,GKN plc,LSE,equity,Auto Parts
TUBEINVES.NS,Tube Investments of India Limited,NSI,equity,Auto Parts
CAAS,China Automotive Systems Inc.,NCM,equity,Auto Parts
VOXX,VOXX International Corporation,NMS,equity,Auto Parts
XDH.SG,XINGDA INTERNATIONA,STU,equity,Auto Parts
SONASTEER.NS,Sona Koyo Steering Systems Limited,NSI,equity,Auto Parts
COTE,Coates International Ltd.,PNK,equity,Auto Parts
THRM,Gentherm Incorporated,NMS,equity,Auto Parts
MLR.V,Melior Resources Inc.,VAN,equity,Auto Parts
LEO.DE,LEONI AG,GER,equity,Auto Parts
SAMKRG.BO,Samkrg Pistons and Rings Limited,BSE,equity,Auto Parts
UQM,UQM Technologies Inc.,ASE,equity,Auto Parts
GMM.DE,Grammer AG,GER,equity,Auto Parts
MOD,Modine Manufacturing Company,NYQ,equity,Auto Parts
MLSTR.PA,Streit Industries,PAR,equity,Auto Parts
TRW,TRW Automotive Holdings Corp.,NYQ,equity,Auto Parts
FARE,World Moto Inc.,OBB,equity,Auto Parts
AXL,American Axle & Manufacturing Holdings Inc.,NYQ,equity,Auto Parts
NGK.MU,NGK SPARK PLUG,MUN,equity,Auto Parts
FDML,Federal-Mogul Holdings Corporation,NMS,equity,Auto Parts
MGIC.PA,MGI Coutier SA,PAR,equity,Auto Parts
JCI,Johnson Controls Inc.,NYQ,equity,Auto Parts
EO.PA,Faurecia S.A.,PAR,equity,Auto Parts
SYPR,Sypris Solutions Inc.,NGM,equity,Auto Parts
DLPH,Delphi Automotive PLC,NYQ,equity,Auto Parts
